dist_code,Party,rel,abs,MapNo
BUF,African National Congress,-0.0382206541953834,-13,1
CPT,African National Congress,0.00554081614236468,-1,249
DC1,African National Congress,0.0452069716775599,1,250
DC10,African National Congress,-0.376923076923077,-4,3
DC12,African National Congress,-0.102756892230576,-6,13
DC13,African National Congress,-0.0731638418079096,-4,21
DC14,African National Congress,-0.375406636304489,-5,30
DC15,African National Congress,-0.24554367201426,-19,35
DC16,African National Congress,0.0384024577572965,5,47
DC18,African National Congress,-0.203634085213033,6,52
DC19,African National Congress,-0.112903225806452,1,58
DC2,African National Congress,-0.0639834881320949,-8,256
DC20,African National Congress,-0.192988545643874,-4,65
DC21,African National Congress,0.0346427466749149,0,83
DC22,African National Congress,-0.0361685214626391,-1,90
DC23,African National Congress,-0.033033033033033,2,98
DC24,African National Congress,0.0558139534883721,4,104
DC25,African National Congress,0.0102898550724638,-2,109
DC26,African National Congress,0.136262513904338,7,113
DC27,African National Congress,0.0625782227784731,-2,119
DC28,African National Congress,0.0538461538461538,8,125
DC29,African National Congress,-0.0402298850574713,-1,132
DC3,African National Congress,-0.0720081135902637,-7,262
DC30,African National Congress,0.0121212121212121,5,173
DC31,African National Congress,-0.0116216699445736,5,181
DC32,African National Congress,-0.0179872495446266,3,188
DC33,African National Congress,0.0411799065420561,2,143
DC34,African National Congress,-0.116879795396419,-6,149
DC35,African National Congress,-0.119732301579002,1,154
DC36,African National Congress,-0.151515151515151,0,160
DC37,African National Congress,-0.115151515151515,-2,194
DC38,African National Congress,-0.135762357855651,1,200
DC39,African National Congress,-0.204260651629073,-3,206
DC4,African National Congress,-0.101024713682942,-6,267
DC40,African National Congress,-0.446969696969697,-13,212
DC42,African National Congress,-0.0430839002267574,0,73
DC43,African National Congress,0.077717879604672,7,137
DC44,African National Congress,-0.0438385458433574,-4,41
DC45,African National Congress,-0.321589205397301,-6,245
DC47,African National Congress,-0.0468272171253823,0,167
DC48,African National Congress,0.0174471992653811,11,77
DC5,African National Congress,-0.00233100233100234,-1,275
DC6,African National Congress,-0.0726495726495727,3,217
DC7,African National Congress,-0.362534948741845,-9,224
DC8,African National Congress,-0.28030303030303,-4,233
DC9,African National Congress,-0.147581645307979,-3,240
EKU,African National Congress,0.0161978032882455,1,70
ETH,African National Congress,-0.0806192239682381,-33,82
JHB,African National Congress,-0.00854371921182265,28,71
MAN,African National Congress,0.0187139386577589,0,46
NMA,African National Congress,-0.0309080153800651,-1,2
TSH,African National Congress,-0.0161911214449594,-4,72
